date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:02	69/69	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Sep%202021%2014:26:57%20GMT	https://websitedemos.net/robots.txt		(from )
21:39:06	169157/169157	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2014:32:46%20GMT	https://websitedemos.net/construction-02/	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/index.html	(from )
21:39:06	83590/83590	---M--	200	added ('OK')	image/jpeg	etag:%225f2d2f9d-14686%22	https://websitedemos.net/construction-02/wp-content/uploads/sites/35/elementor/thumbs/about-img-1-otm2ulon9vpktalb50wknvjn0raina7till6ajoxsw.jpg	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/uploads/sites/35/elementor/thumbs/about-img-1-otm2ulon9vpktalb50wknvjn0raina7till6ajoxsw.jpg	(from https://websitedemos.net/construction-02/)
21:39:06	48304/48304	---MCZ	200	added ('OK')	text/css	etag:W/%226141b13a-bcb0%22	https://websitedemos.net/construction-02/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.7.2	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/themes/astra/assets/css/minified/frontend.minf3df.css	(from https://websitedemos.net/construction-02/)
21:39:08	3304/3304	---M--	200	added ('OK')	font/woff	etag:%226141b13a-ce8%22	https://websitedemos.net/construction-02/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/themes/astra/assets/fonts/astra.woff	(from https://websitedemos.net/construction-02/)
21:39:08	80574/80574	---MCZ	200	added ('OK')	text/css	etag:W/%2261027597-13abe%22	https://websitedemos.net/construction-02/wp-includes/css/dist/block-library/style.min.css?ver=5.8.1	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-includes/css/dist/block-library/style.minf658.css	(from https://websitedemos.net/construction-02/)
21:39:08	1152/1152	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2210851fbf9af50856a171997479ea9ee6%22	https://websitedemos.net/construction-02/feed/	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/feed/index.html	(from https://websitedemos.net/construction-02/)
21:39:08	778/778	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221ee2d283c8257f42bca26983da029a94%22	https://websitedemos.net/construction-02/comments/feed/	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/comments/feed/index.html	(from https://websitedemos.net/construction-02/)
21:39:09	17679/17679	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-450f%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.12.0	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minb683.css	(from https://websitedemos.net/construction-02/)
21:39:09	3854/3854	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-f0e%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.4.2	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/css/frontend-legacy.minccfb.css	(from https://websitedemos.net/construction-02/)
21:39:09	766/766	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221ee2d283c8257f42bca26983da029a94%22	https://websitedemos.net/construction-02/home/feed/	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/home/feed/index.html	(from https://websitedemos.net/construction-02/)
21:39:09	131034/131034	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-1ffda%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.2	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/css/frontend.minccfb.css	(from https://websitedemos.net/construction-02/)
21:39:20	1101/1101	---MCZ	200	added ('OK')	text/css	etag:W/%2261407212-459%22	https://websitedemos.net/construction-02/wp-content/uploads/sites/35/elementor/css/post-1182.css?ver=1631613458	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/uploads/sites/35/elementor/css/post-11825db4.css	(from https://websitedemos.net/construction-02/)
21:39:21	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-e7d0%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.4.2	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.minccfb.css	(from https://websitedemos.net/construction-02/)
21:39:21	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-684e%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.4.2	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minccfb.css	(from https://websitedemos.net/construction-02/)
21:39:21	200672/200672	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261233faa-30fe0%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.10.0	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons0b93.eot	(from https://websitedemos.net/construction-02/)
21:39:21	62629/62629	---MCZ	200	added ('OK')	text/css	etag:W/%2261407212-1002b%22	https://websitedemos.net/construction-02/wp-content/uploads/sites/35/elementor/css/post-2.css?ver=1631613458	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/uploads/sites/35/elementor/css/post-25db4.css	(from https://websitedemos.net/construction-02/)
21:39:22	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-e238%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://websitedemos.net/construction-02/)
21:39:23	669/669	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-29d%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://websitedemos.net/construction-02/)
21:39:23	677/677	---MCZ	200	added ('OK')	text/css	etag:W/%2261233faa-2a5%22	https://websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/Arya/websitedemos.net/construction-02/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://websitedemos.net/construction-02/)
